username,tweetsPosted
123_kera,13
17Emmz,31
214chas,2
2sdad,2
718PlayBoy,8
750inked,136
7unky,1
8jake_johnson8,1
ACFE_SHSU,3
AChrishele,8
ADAMBOBCOMEDY,1
AFE_LegitGod,4
AJ_Woolley,19
ASHXS314,1
ASoneff,57
A_Dubb18,1
A_Plain_Blaine,2
AbbyWithAn_IE,5
Absolutely_Aud,59
AdamscottOlsen,1
AggieOutfitters,1
Aggie_Forester,8
Ahlec_,1
AlanSteinberg,1
AlecGavin,4
Alex__Kirkbride,1
AlexisButsch,3
AlfredStickman,1
AlicciaaRaee,1
Allieee_leann,1
Alondrasw0rld,2
Alopez_54,1
Alyssa_Delome,9
AmberMostyn,1
Amor_Autumn,142
AngelaShimek,1
AngolanKingg,31
Ant_eiku,11
AnthonyMM47,1
AraceliiDelgado,1
Ari_N_Kelly,104
ArnaudsCajun,12
AryanaMichee,17
AshleyPonicsan,8
AshleyT_12,80
Ashley_dashawn,103
Asolid00,4
Atealem_,2
AtomicCorey,1
AudreyEEvans,2
AuthorMaca,4
AvO_1990,1
Avii281,2
Awldridecaldlfe,1
Ayo8sed,3
Ayoo_Kess,1
BB_LFG,1
BDanchenka1215,4
BPG_Prodigies,1
B_OutoftheBox,1
Baesicbryan,13
BagFredoo,4
BaileyAnn330,1
BaileyCresswell,2
BailyTippit,1
BarroshaBoykin,136
BasedGoddessKee,185
BaylorBaseball,2
Bcause_impretty,2
Beann_Olivia,17
BearkatOneCard,1
BearkatSports,1
BearkatsFB,16
BearkatsTFXC,3
BearkatsVB,3
Beeutiful_Daze,21
Begreatskiee,34
BenjaminEPark,31
BennieDozier1,1
BennyBoJames,4
BigDaddy_Monte,1
BigJ_ExtFitness,1
BigRed200935,20
BigSandino,1
BigSwole300,3
Big_lu_homie,9
Bighunchooo903,198
Blassingame_18,1
BlogThisLink,1
BlueLove_1920,1
BomberoDinero,3
BradlieCrowley,5
BrandiMaxiell,2
BrandonBobino,2
BrandonPonce713,1
BrannonRroberts,1
BreannaBrimage,1
BrennShae,32
BrentDraper16,1
BrianJutson_,23
Briceon44,5
BrileyPaul,7
BrooklinPavlas,7
BryceBarbay,5
Bstroke17,18
BubblyBreanna,18
BurlesonFFA,1
ByronCulton,1
CCHuntsvilleTx,7
CEOsmoov,84
CHSSDeanZink,1
CSTXPolice,1
C_E_Stewart,1
C_schmurda,2
CaitlynBrockway,2
CalebCobb06,134
CallyNicks,4
Cam_Tucker65,1
CamilleB_18,5
CammiGarrett,196
CampaignKJG_5,1
CarrieJettQuinn,1
CarriePaul,2
Carson_Byrd91,1
Carsonbgordon,6
CaseyJCrews,18
CasteckaA,6
Caturee_Savagee,2
Cedrico20,4
CeeEssJay,1
ChandlerHarvin,15
Chanelleee_,2
Charliejaey,40
Chase_c_lakerat,5
Cheechawthegawd,1
ChloeAHurd,131
ChrisYbarraWGB,1
ChrissyKellems,1
Chulitaaaaaaaa_,30
Ciz213,14
CjHtx02,1
ClineKyleigh,7
ClubShenanigan,10
CoachCharlieO,3
CoachDougSmith_,1
CoachHen_1,1
CoachLambino,2
CoachSiddiq,22
CoachWertz12,1
Coach__Campbell,4
Cocaine_Kittens,4
CodeRed714,1
CodyWCraig,1
Cole__white,10
ColetteDianne,2
